Freq.	V(n004)*I(R_load)		
1.44E+04	-2.00E-05	4.14E-06	2.04568E-05
1.45E+04	-2.10E-05	4.38E-06	2.14312E-05
1.46E+04	-2.20E-05	4.62E-06	2.24466E-05
1.47E+04	-2.30E-05	4.88E-06	2.35045E-05
1.48E+04	-2.41E-05	5.15E-06	2.46064E-05
1.49E+04	-2.52E-05	5.43E-06	2.57541E-05
1.50E+04	-2.63E-05	5.73E-06	2.69492E-05
1.51E+04	-2.75E-05	6.04E-06	2.81935E-05
1.52E+04	-2.88E-05	6.36E-06	2.94888E-05
1.53E+04	-3.01E-05	6.71E-06	3.08369E-05
1.54E+04	-3.15E-05	7.07E-06	3.22398E-05
1.55E+04	-3.29E-05	7.44E-06	3.36995E-05
1.56E+04	-3.43E-05	7.84E-06	3.5218E-05
1.57E+04	-3.59E-05	8.25E-06	3.67976E-05
1.58E+04	-3.74E-05	8.69E-06	3.84404E-05
1.59E+04	-3.91E-05	9.14E-06	4.01487E-05
1.60E+04	-4.08E-05	9.62E-06	4.19248E-05
1.61E+04	-4.26E-05	1.01E-05	4.37713E-05
1.62E+04	-4.44E-05	1.06E-05	4.56906E-05
1.63E+04	-4.64E-05	1.12E-05	4.76854E-05
1.64E+04	-4.83E-05	1.18E-05	4.97584E-05
1.65E+04	-5.04E-05	1.24E-05	5.19122E-05
1.66E+04	-5.26E-05	1.30E-05	5.415E-05
1.67E+04	-5.48E-05	1.37E-05	5.64745E-05
1.68E+04	-5.71E-05	1.43E-05	5.8889E-05
1.69E+04	-5.95E-05	1.51E-05	6.13966E-05
1.70E+04	-6.20E-05	1.58E-05	6.40005E-05
1.71E+04	-6.46E-05	1.66E-05	6.67043E-05
1.72E+04	-6.73E-05	1.74E-05	6.95114E-05
1.73E+04	-7.01E-05	1.83E-05	7.24254E-05
1.74E+04	-7.30E-05	1.92E-05	7.54502E-05
1.75E+04	-7.60E-05	2.01E-05	7.85896E-05
1.76E+04	-7.91E-05	2.11E-05	8.18477E-05
1.77E+04	-8.23E-05	2.22E-05	8.52285E-05
1.78E+04	-8.56E-05	2.32E-05	8.87364E-05
1.79E+04	-8.91E-05	2.44E-05	9.23759E-05
1.80E+04	-9.27E-05	2.55E-05	9.61515E-05
1.81E+04	-9.64E-05	2.68E-05	0.000100068
1.82E+04	-1.00E-04	2.81E-05	0.00010413
1.83E+04	-1.04E-04	2.94E-05	0.000108343
1.84E+04	-1.08E-04	3.08E-05	0.000112713
1.85E+04	-1.13E-04	3.23E-05	0.000117243
1.86E+04	-1.17E-04	3.38E-05	0.000121941
1.87E+04	-1.22E-04	3.54E-05	0.000126812
1.88E+04	-1.27E-04	3.71E-05	0.000131862
1.89E+04	-1.31E-04	3.88E-05	0.000137097
1.90E+04	-1.37E-04	4.06E-05	0.000142523
1.91E+04	-1.42E-04	4.25E-05	0.000148148
1.92E+04	-1.47E-04	4.45E-05	0.000153978
1.93E+04	-1.53E-04	4.65E-05	0.000160019
1.94E+04	-1.59E-04	4.87E-05	0.00016628
1.95E+04	-1.65E-04	5.09E-05	0.000172769
1.96E+04	-1.71E-04	5.33E-05	0.000179492
1.97E+04	-1.78E-04	5.57E-05	0.000186458
1.98E+04	-1.85E-04	5.83E-05	0.000193675
1.99E+04	-1.92E-04	6.10E-05	0.000201153
2.00E+04	-1.99E-04	6.37E-05	0.000208899
2.01E+04	-2.06E-04	6.66E-05	0.000216924
2.02E+04	-2.14E-04	6.97E-05	0.000225236
2.03E+04	-2.22E-04	7.28E-05	0.000233847
2.04E+04	-2.31E-04	7.61E-05	0.000242765
2.05E+04	-2.39E-04	7.95E-05	0.000252002
2.06E+04	-2.48E-04	8.31E-05	0.000261569
2.07E+04	-2.57E-04	8.68E-05	0.000271477
2.08E+04	-2.67E-04	9.07E-05	0.000281738
2.09E+04	-2.77E-04	9.48E-05	0.000292365
2.10E+04	-2.87E-04	9.90E-05	0.000303368
2.11E+04	-2.97E-04	1.03E-04	0.000314763
2.12E+04	-3.08E-04	1.08E-04	0.000326562
2.13E+04	-3.19E-04	1.13E-04	0.000338779
2.14E+04	-3.31E-04	1.18E-04	0.000351429
2.15E+04	-3.43E-04	1.23E-04	0.000364526
2.16E+04	-3.56E-04	1.28E-04	0.000378087
2.17E+04	-3.68E-04	1.34E-04	0.000392128
2.18E+04	-3.82E-04	1.40E-04	0.000406664
2.19E+04	-3.96E-04	1.46E-04	0.000421714
2.20E+04	-4.10E-04	1.53E-04	0.000437294
2.21E+04	-4.25E-04	1.59E-04	0.000453425
2.22E+04	-4.40E-04	1.66E-04	0.000470124
2.23E+04	-4.56E-04	1.73E-04	0.000487411
2.24E+04	-4.72E-04	1.81E-04	0.000505308
2.25E+04	-4.89E-04	1.89E-04	0.000523835
2.26E+04	-5.06E-04	1.97E-04	0.000543015
2.27E+04	-5.24E-04	2.06E-04	0.00056287
2.28E+04	-5.43E-04	2.15E-04	0.000583425
2.29E+04	-5.62E-04	2.24E-04	0.000604702
2.30E+04	-5.82E-04	2.34E-04	0.000626729
2.31E+04	-6.02E-04	2.44E-04	0.000649532
2.32E+04	-6.23E-04	2.54E-04	0.000673137
2.33E+04	-6.45E-04	2.65E-04	0.000697573
2.34E+04	-6.68E-04	2.77E-04	0.00072287
2.35E+04	-6.91E-04	2.88E-04	0.000749058
2.36E+04	-7.15E-04	3.01E-04	0.000776169
2.37E+04	-7.40E-04	3.14E-04	0.000804235
2.38E+04	-7.66E-04	3.27E-04	0.000833291
2.39E+04	-7.93E-04	3.41E-04	0.000863372
2.40E+04	-8.21E-04	3.56E-04	0.000894514
2.41E+04	-8.49E-04	3.71E-04	0.000926755
2.42E+04	-8.79E-04	3.87E-04	0.000960135
2.43E+04	-9.09E-04	4.04E-04	0.000994695
2.44E+04	-9.41E-04	4.21E-04	0.001030478
2.45E+04	-9.73E-04	4.39E-04	0.001067526
2.46E+04	-1.01E-03	4.58E-04	0.001105887
2.47E+04	-1.04E-03	4.77E-04	0.001145608
