Freq.	V(n004)*I(R_load)		
9.73E+04	-4.67E-02	-4.79E-02	0.066937788
9.74E+04	-4.65E-02	-4.75E-02	0.066495795
9.75E+04	-4.63E-02	-4.71E-02	0.066058145
9.76E+04	-4.61E-02	-4.67E-02	0.065624784
9.77E+04	-4.59E-02	-4.63E-02	0.065195658
9.78E+04	-4.57E-02	-4.59E-02	0.064770713
9.79E+04	-4.55E-02	-4.55E-02	0.064349896
9.80E+04	-4.53E-02	-4.51E-02	0.063933155
9.81E+04	-4.51E-02	-4.47E-02	0.06352044
9.82E+04	-4.49E-02	-4.43E-02	0.0631117
9.83E+04	-4.47E-02	-4.40E-02	0.062706885
9.84E+04	-4.45E-02	-4.36E-02	0.062305946
9.85E+04	-4.43E-02	-4.32E-02	0.061908837
9.86E+04	-4.41E-02	-4.29E-02	0.061515508
9.87E+04	-4.39E-02	-4.25E-02	0.061125914
9.88E+04	-4.37E-02	-4.21E-02	0.060740009
9.89E+04	-4.36E-02	-4.18E-02	0.060357746
9.90E+04	-4.34E-02	-4.14E-02	0.059979083
9.91E+04	-4.32E-02	-4.11E-02	0.059603974
9.92E+04	-4.30E-02	-4.08E-02	0.059232376
9.93E+04	-4.28E-02	-4.04E-02	0.058864247
9.94E+04	-4.26E-02	-4.01E-02	0.058499545
9.95E+04	-4.24E-02	-3.98E-02	0.058138228
9.96E+04	-4.22E-02	-3.94E-02	0.057780256
9.97E+04	-4.20E-02	-3.91E-02	0.057425587
9.98E+04	-4.19E-02	-3.88E-02	0.057074184
9.99E+04	-4.17E-02	-3.85E-02	0.056726006
1.00E+05	-4.15E-02	-3.82E-02	0.056381014
