Freq.	V(n004)*I(R_load)
Step Information: Kv=100m  (Step: 1/5)
1.82190360360361e+04	-3.96867593619571e-06,1.10379421578119e-06
1.83191351351352e+04	-4.12586313770367e-06,1.15609365190725e-06
1.84192342342342e+04	-4.28867628505835e-06,1.21068459678599e-06
1.85193333333333e+04	-4.45730010757983e-06,1.26766118755654e-06
1.86194324324324e+04	-4.63192505989457e-06,1.32712126817250e-06
1.87195315315315e+04	-4.81274749583931e-06,1.38916653326771e-06
1.88196306306306e+04	-4.99996984770613e-06,1.45390267768017e-06
1.89197297297297e+04	-5.19380081099900e-06,1.52143955185567e-06
1.90198288288288e+04	-5.39445553487274e-06,1.59189132337729e-06
1.91199279279279e+04	-5.60215581843673e-06,1.66537664485899e-06
1.92200270270270e+04	-5.81713031310418e-06,1.74201882847508e-06
1.93201261261261e+04	-6.03961473117964e-06,1.82194602738866e-06
1.94202252252252e+04	-6.26985206088115e-06,1.90529142436207e-06
1.95203243243243e+04	-6.50809278799903e-06,1.99219342784570e-06
1.96204234234234e+04	-6.75459512440110e-06,2.08279587585087e-06
1.97205225225225e+04	-7.00962524360125e-06,2.17724824792282e-06
1.98206216216216e+04	-7.27345752361196e-06,2.27570588555553e-06
1.99207207207207e+04	-7.54637479731250e-06,2.37833022138914e-06
2.00208198198198e+04	-7.82866861057070e-06,2.48528901755288e-06
2.01209189189189e+04	-8.12063948835917e-06,2.59675661354178e-06
2.02210180180180e+04	-8.42259720912491e-06,2.71291418400490e-06
2.03211171171171e+04	-8.73486108766739e-06,2.83395000687193e-06
2.04212162162162e+04	-9.05776026679560e-06,2.96005974224445e-06
2.05213153153153e+04	-9.39163401804329e-06,3.09144672249399e-06
2.06214144144144e+04	-9.73683205172653e-06,3.22832225404082e-06
2.07215135135135e+04	-1.00937148366382e-05,3.37090593130509e-06
2.08216126126126e+04	-1.04626539296865e-05,3.51942596333085e-06
2.09217117117117e+04	-1.08440323157911e-05,3.67411951361711e-06
2.10218108108108e+04	-1.12382447583552e-05,3.83523305372837e-06
2.11219099099099e+04	-1.16456981606594e-05,4.00302273123116e-06
2.12220090090090e+04	-1.20668119385100e-05,4.17775475259618e-06
2.13221081081081e+04	-1.25020184045005e-05,4.35970578168572e-06
2.14222072072072e+04	-1.29517631642628e-05,4.54916335446468e-06
2.15223063063063e+04	-1.34165055250662e-05,4.74642631067532e-06
2.16224054054054e+04	-1.38967189171751e-05,4.95180524313738e-06
2.17225045045045e+04	-1.43928913283526e-05,5.16562296546955e-06
2.18226036036036e+04	-1.49055257519251e-05,5.38821499900902e-06
2.19227027027027e+04	-1.54351406488475e-05,5.61993007972290e-06
2.20228018018018e+04	-1.59822704241899e-05,5.86113068601642e-06
2.21229009009009e+04	-1.65474659185181e-05,6.11219358828289e-06
2.22230000000000e+04	-1.71312949146164e-05,6.37351042118783e-06
2.23230990990991e+04	-1.77343426600539e-05,6.64548827960759e-06
